State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,Facility Category,Facility Subcategory,Latitude,Longitude
Karnataka,Shimoga,Hosanagar,Yabagodu,1105742,bus stand,yabagodu,Transport/Admin,Bus Stand,13.839205889963,75.007498338819
Karnataka,Belgaum,Khanapur,Bogur,172702,Bus stand,Bogur,Transport/Admin,Bus Stand,15.642451666666,74.705748333333
Karnataka,Dharwad,Kundgol,Saunshi,964546,Panchayat Headquarter,Saunshi,Transport/Admin,Panchayat Headquarter,15.205430668883,75.304266210523
Karnataka,Bijapur,Sindagi,Jalawad LT1,445999,Bus Stand,Jalawad LT1,Transport/Admin,Bus Stand,16.76710758,76.14311665
Karnataka,Belgaum,Bailahongala,Gaddikaravinakoppa,333826,Bus Stand,Gaddikaravinakoppa,Transport/Admin,Bus Stand,15.772913,74.71018554
Karnataka,Mysore,T.Narasipur,Talakadu,1027896,karnataka grameena bank,talakadu,Transport/Admin,Bank,12.189436331391,77.03047234565
Karnataka,Belgaum,Raibag,alakanur,1346931, Bus Stand,Alakanur,Transport/Admin,Bus Stand,16.53389519,74.9127896
Karnataka,Bellary,Siruguppa,Sirigeri,997434,Govt  Pre University college,sirigeri,Education ,Higher Secondary School,15.44481309,76.81970019
Karnataka,Dakshina Kannada,Mangalore,Sannamadaka,951340,high school ,sannamadaka,Education ,High School - General,12.83657962,74.89039182
Karnataka,Chamarajanagar,Kollegala,Voddaradoddi,1099924,govt higher primary school ,voddaradhoddi,Education ,Higher Secondary School,12.057833333333,77.40581
Karnataka,Belgaum,Khanapur,Kunkikoppa,601815,bus stop ,kunkikopp cross ,Transport/Admin,Bus Stand,15.583276160342,74.616689003476
Karnataka,Tumkur,Tumkur,Kaidala,481628,MPCS Kaidala in Tumkur Tq,MPCS Kaidala in Tumkur Tq,Agro ,Collection Centre or Pack House,13.300624999999,77.080546666666
Karnataka,Shimoga,Sagar,Kalmane,492254,Kilmany bus stand,Hulimane,Transport/Admin,Bus Stand,14.125462468029,75.008320201793
Karnataka,Chickballapur,Sidlaghatta,Tatahalli,1035347,milk collection centre ,Tatahalli,Agro ,Collection Centre or Pack House,13.429936333559,77.877499116585
Karnataka,Uttara Kannada,Sirsi,Dasankoppa,252998,Malnad Highschool,Dasankoppa,Education ,High School - General,14.69547738,75.02559954
Karnataka,Kolar,Bangarpet,Hanchala,395523,ITI College,Hanchala,Education ,ITI,13.04796822,78.15564713
Karnataka,Haveri,Shiggoan,Hirebendigeri,423434,school,at HIrebendigeri,Education ,High School - General,15.08395329,75.21673073
Karnataka,Mysore,Krishnarajanagar,hosur kallahally,426927,High school,Hosur kallahalli,Education ,High School - General,12.461868333333,76.44757
Karnataka,Tumkur,Madhugiri,Byalya,187578,Milk production co operative society Byalya ,Byalya Madhugiri taluk,Agro ,Collection Centre or Pack House,13.64941838,77.30961296
Karnataka,Gadag,Ron,Hunagundi,428472,Gram panchayat ,Hunagundi ,Transport/Admin,Panchayat Headquarter,15.78492284,75.69038098
Karnataka,Chamarajanagar,CR Nagar,Venkataiahnachatra,1094609,Vijay Bank,Venkatainachatra,Transport/Admin,Bank,11.859988896176,76.956849480048
Karnataka,Hassan,Hassan,Yelagunda,1110156,Panchayat head quarter,yelagunda Hassan tq,Transport/Admin,Panchayat Headquarter,13.14733371,76.11596111
Karnataka,Chitradurga,Hiriyur,Samudrahalli,946890,Revenue,Samudrahally Main road,Agro ,Is Part of Rurban Cluster?,13.95031761,76.75205128
Karnataka,Chamarajanagar,Kollegala,Peddanapalya,843747,govt higher primary school,peddanapallya,Education ,Higher Secondary School,11.869988333333,77.461506666667
Karnataka,Mandya,Mandya,Tharanigere,1046811,primary school,tharanigere,Education ,High School - General,12.68877969,76.84603783
Karnataka,Bangalore U,Bangalore(S),Kumbalgodu,596969,Bank,"Kumbalgodu, Mysore road",Transport/Admin,Bank,12.87848901,77.44560644
Karnataka,Koppal,Gangavathi,Emmegudda,324766,murarji desai residence school,hemagudda,Education ,High School - General,15.43258288,76.40444658
Karnataka,Mandya,Mandya,Ummadahalli,1073271,PACS,ummadahalli,Transport/Admin,Bank,12.563706666667,76.931343333333
Karnataka,Dakshina Kannada,Sulya,Yenmoor,1110723,private,Bharat petroleum ninthikalku,Transport/Admin,Fuel Station,12.67899891,75.42347519
Karnataka,Uttara Kannada,Yellapura,Madnoor,642192,Wearhous madanoor,Wearhous madanoor,Agro ,Warehouse,15.03359931,74.85045674
Karnataka,Haveri,Haveri,Negalur,776527,stock yard,at negalur,Agro ,Warehouse,14.892593482509,75.60634592548
Karnataka,Tumkur,Pavagada,Tumakunte,1065357,Bus stand,Tumakunte,Transport/Admin,Bus Stand,14.07691338,77.059762
Karnataka,Mysore,Mysore,Siddaramana hundi,988543,bank,siddaramanahundi,Transport/Admin,Bank,12.215309999999,76.812915
Karnataka,Mandya,Pandavapura,Menagra,698133,Govt higher secondry school,menagra,Education ,Higher Secondary School,12.606365,76.72053
Karnataka,Shimoga,Bhadravathi,Arekere,45068,primary health center,Arekere,Medical ,Primary Health Centre,13.950728333333,75.76913
Karnataka,Udupi,Kundapura,Mallarabettu,663254,Bank,Mallarabettu,Transport/Admin,Bank,13.647546666666,74.670994999999
Karnataka,Kodagu,Virajpet,T Shettigeri,1024130,Mandi ,T Shettigeri,Agro ,Mandi (Notified),12.03349537,75.97280188
